,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
88,Gazoz Meyveli,5.056477213636668,1.4647997777333277,1.391538566629058,3.0180673208033415,2.3762292406043217,0.6830648487392565,2.9478841538759237,3.593945598469883,3.309407935006403,3.0471151066463698,2.0866704646110623,2.7110272043259
89,Genç Odası Takımı,3.5008062767740267,2.1162530924036416,2.0557055558084514,0.7273013545445295,1.2082690419671582,0.6494454727871135,1.9810680344373832,3.8657057242999615,1.6632884096116074,0.6980217807524003,0.5202831137216757,3.7466815626975736
90,Gofret,7.252358962573902,4.030947031102161,1.5451074550641097,1.5068146408553362,0.17543677068978525,1.7506977083189934,3.4420392477868322,-0.35217440956509805,3.0185502022564092,2.0254422497866242,0.5606089419947224,3.207283762094504
91,Gömlek (Erkek için),4.684243992449577,6.946163872836886,2.0331605913380013,-2.09243923202147,0.748192917959245,2.4689517816712137,-2.7989931498769938,1.5560936803494796,4.979332834335537,0.19324725394953557,-0.8725906441261366,3.5047739205618433
92,Gömlek (Kadın için),5.799580713330332,7.062454260014461,0.9353900255995251,-1.283432435057763,0.299864615069545,0.056920307012719995,3.037852011621256,1.8150797016517783,3.4795651151539486,3.9972570864472923,0.38786864140374355,1.0629779576150633
93,Gömlek (Çocuk için),3.715189351577597,4.803386258617293,-1.0113419577205462,0.9112044186736279,2.325797522226458,1.7137415521636168,-2.5021002507569334,4.086376570273731,1.9617996119730918,-2.2254489711839076,12.923455215904166,
94,Gündelikçi Ücreti,4.387469335475336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.627709274632495,1.9349236628136257,21.404115709140136
95,Halı,16.198388384085717,10.96026028564756,1.8574673207987002,7.223317407620811,1.672327742815094,-1.6792874498605448,-1.4379927237074597,2.0230332141410123,-0.07715229605537166,-5.269345780466583,0.764855004716658,0.5472558966791552
96,Halı Temizleme,12.269720304821297,28.14787093424176,16.376265221292073,-6.44315148815301,-6.526054048947061,27.099402074551506,3.074457917186857,-5.470479088195601,21.508345887820024,2.2531257090253165,1.2494519818595506,0.06298642222009043
97,Havlu,4.497177885075065,6.003607579852233,-0.38643518983689784,-1.9144838379252294,1.431782354244171,2.766685468949781,-1.3798265205819504,1.489214649521986,1.7112742897722688,-1.6108664465722122,1.990374894169733,2.7396638303040954
98,Havuç,-21.54624230666705,10.290359510566338,21.845678401429637,1.5741605819838078,-1.5163741339976666,-4.700336020540952,-8.935690657096329,-13.16064026643411,-15.196721557741954,-4.895444822880712,0.05634269138556913,4.845117529510379
99,Hazır Et Yemekleri,0.014815279430058226,0.08466829603430703,0.0,2.5283478640183876,-2.996039530259298,2.8512244366540873,0.29383929692405886,2.876978615297854,0.5239119731375919,2.159518614467326,3.465749624975789,2.0131753923181783
100,Hazır Kahve,2.519970062544985,1.5690292821362473,6.490332396435883,4.819905316593531,2.5660676392204707,2.504046731446685,6.422722397899983,0.18958374637862985,3.6271120684607805,4.994642293962137,7.294073539811752,5.001692431553906
101,Hazır Pakette Toz Tatlılar (Puding),1.7709879977219734,1.4978700100089615,0.22820328001724732,-2.866258755997586,-2.2784151907053296,9.111287985438032,3.317150444737571,-0.4846291074782627,5.698460752924572,5.779260834171018,0.20893169286542168,0.4671517430117844
102,Hazır Sütlü Tatlılar,11.940376418019948,2.975689791864,1.220943870333624,0.29822865483262184,0.1589342808445693,3.658100805833797,8.863162416134562,3.4466745150017575,3.3912141818485564,1.6520049914296342,1.6188013486114095,-0.18505798647219796
103,"Hazır Yemekler (Pilav, Kuru Fasulye)",-0.6022208740346757,-18.024927223936693,10.447906715531863,0.572184559356681,3.434492925195065,0.2240856907104405,1.957127420741367,-5.574918301949916,0.8460124980784522,0.9727135052030489,1.3896983334822144,2.374976950747776
104,Hazır Çorbalar,0.4839871931830997,-6.453535839723057,11.2428430882332,1.6172643014848553,-1.9619820998936555,3.764702639769557,1.3636788258976518,0.9905237583238691,5.811421425471197,0.3225720657561215,2.6995648001214123,2.4667137138087103
